compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"Notebook Iris 14"" FHD Intel Core i3-1005G1 8GB 256GB SSD Windows 10 Grey",Marca: Gear,"Procesador: Intel® Core i3-1005G1, 1.2GHz hasta 3.40GHz",Memoria RAM: 8GB LPDDR4x (Máx. 8GB de Memoria RAM) ,Tarjeta Gráfica: Intel® HD Graphics ,"Pantalla: 14"" / FHD 1920x1080 / 16:9 LCD",Almacenamiento: 256GB SSD ,Sistema Operativo: Windows 10, $      463.890, $      449.990,https://www.pcfactory.cl//producto/39253-gear-notebook-iris-14-fhd-intel-core-i3-1005g1-8gb-256gb-ssd-windows-10-grey
Pc Factory,"Notebook Aspire 3 14"" FHD Ryzen 5-3500U 8GB 256GB SSD Windows 10 SL A314-22-R4P7-1 Black",Marca: Acer,"Procesador: AMD Ryzen™ 5 3500U, 2.10GHz hasta 3.70GHz (2M Caché)",Memoria RAM: 8GB DDR4 SDRAM (4GB On Board)(Máx. 12GB de Memoria RAM) 1 Slot,Tarjeta Gráfica: AMD Radeon™ Vega 8,"Pantalla: 14"" / FHD 1920 x 1080 / Acer ComfyView LCD",Almacenamiento: 256GB SSD ,Sistema Operativo: Windows 10 Home SL, $      499.990, $      484.990,https://www.pcfactory.cl//producto/37876-acer-notebook-aspire-3-14-fhd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-sl-a314-22-r4p7-1-black
Pc Factory,"Notebook Ideapad S145 15.6"" HD Intel Core i5-1035G4 4GB 1TB Windows 10 Grey",Marca: Lenovo,"Procesador:  Intel® Core™ i5-1035G4, 1.1GHz hasta 3,70 GHz (6M Cache)",Memoria RAM: 4GB DDR4 2667Mhz (Máx. 12GB de Memoria RAM) 1 Slot,Tarjeta Gráfica:  Intel® Iris® Plus,"Pantalla: 15.6"" HD TN AG 220N N / 1366 x 768",Almacenamiento: 1TB HD 5400RPM 2.5 7MM,Sistema Operativo: Windows 10 Home, $      549.990, $      522.490,https://www.pcfactory.cl//producto/37576-lenovo-notebook-ideapad-s145-15-6-hd-intel-core-i5-1035g4-4gb-1tb-windows-10-grey
Pc Factory,"Notebook Dell Inspiron 15.6"" FHD Intel i5-1035G1 8GB 256GB SSD Windows 10",Marca: Dell,"Procesador: Intel® Core™ i5-1035G1, hasta 3.60GHz (6MB cache)",Memoria RAM: 8GB DDR4 2666MHz (Máx. de memoria 16GB) 2 SODIMM Slots,Tarjeta Gráfica: Intel® UHD,Pantalla: 15.6” / FHD 1920 x 1080 Anti-reflejo ,Almacenamiento: 256GB SSD M.2,Sistema Operativo: Windows 10 (64 bit), $      599.990, $      581.990,https://www.pcfactory.cl//producto/35720-dell-notebook-dell-inspiron-15-6-fhd-intel-i5-1035g1-8gb-256gb-ssd-windows-10
Pc Factory,"Notebook Ultraliviano Matebook D 15.6"" FHD Ryzen 5-3500U 8GB 256GB SSD Windows 10 Silver",Marca: Huawei,"Procesador: AMD Ryzen 5 3500U, 2.1GHz hasta  3.7GHz (4MB caché)",Memoria RAM: 8GB DDR4 2400MHz Onboard,Tarjeta Gráfica: Radeon™ Vega 8 Graphics,"Pantalla: 15.6"" / 1920 x 1080 / IPS 16:9 250 nits 800:1",Almacenamiento: 256GB SSD NVMe PCIe ,Sistema Operativo: Windows 10 Home, $      619.990, $      601.390,https://www.pcfactory.cl//producto/37657-huawei-notebook-ultraliviano-matebook-d-15-6-fhd-ryzen-5-3500u-8gb-256gb-ssd-windows-10-silver
Pc Factory,"Notebook 2en1 Pavilion 14"" HD Intel i3-8145U 4GB 256GB SSD Windows 10 Touch Natural Silver 14-dh0025la",Marca: HP,"Procesador: Intel® Core™ i3-8145U, 2,1GHz hasta 3,9GHz (4MB caché)",Memoria RAM: 4GB SDRAM  DDR4 2400Mhz (1x4GB)(Máx. 16GB de Memoria RAM) 2 Slot ,Tarjeta Gráfica: Intel® UHD 620,"Pantalla: 14"" multitáctil con retroiluminación WLEDHS SVA 220 nits, 45% NTSC / 1366 x 768",Almacenamiento: 256GB SSD PCIe® NVMe™ M.2,Sistema Operativo: Windows 10 Home, $      619.990, $      601.390,https://www.pcfactory.cl//producto/37285-hp-notebook-2en1-pavilion-14-hd-intel-i3-8145u-4gb-256gb-ssd-windows-10-touch-natural-silver-14-dh0025la
Pc Factory,"Notebook 240 G7 14"" HD Intel i5-1035G1 4GB 1TB Windows 10 Pro",Marca: HP,Procesador: Intel® Core™ i5-1035G1 1.0 GHz hasta 3.6GHz (6MB caché),Memoria RAM: 4GB SDRAM DDR4-2666MHz (1 x 4 GB)(Máx. 16GB de Memoria RAM) 2 Slot,Tarjeta Gráfica Integrada: Intel® UHD ,"Pantalla: 14"" / HD 1366 x 768/ con retroiluminación WLED HD SVA antirreflectante 220 nits y 45 % de NTSC ",Almacenamiento: 1TB SATA de y 5400 rpm,Sistema Operativo: Windows 10 Pro (64bits), $      639.190, $      619.990,https://www.pcfactory.cl//producto/39404-hp-notebook-240-g7-14-hd-intel-i5-1035g1-4gb-1tb-windows-10-pro
Pc Factory,"Notebook Ultraliviano Matebook D 14"" FHD Ryzen 5-3500U 8GB 512GB SSD Windows 10 Space Grey",Marca: Huawei,"Procesador: AMD Ryzen 5-3500U, 2.1GHz hasta 3.7GHz (4M Caché)",Memoria RAM: 8GB DDR4 2400MHz (Máx. GB de Memoria RAM) Memoria on-board,Tarjeta Gráfica Integrada: Radeon™ Vega 8,"Pantalla: 14"" / FHD 1920×1080  IPS 16: 9",Almacenamiento: 512GB SSD NVMe PCIe,Sistema Operativo: Windows 10 (64bit), $      649.990, $      630.490,https://www.pcfactory.cl//producto/36681-huawei-notebook-ultraliviano-matebook-d-14-fhd-ryzen-5-3500u-8gb-512gb-ssd-windows-10-space-grey
Pc Factory,"Notebook 15.6"" HD Intel i5-10210U 8GB 256GB SSD NVIDIA GeForce MX130 2GB Windows 10 Natural Silver 15-dw1051la",Marca: HP,"Procesador: Intel® Core™ i5-10210U 1,6 GHz, hasta 4,2 GHz (6MB caché)",Memoria RAM: 8GB SDRAM DDR4-2666 (1 x 8 GB)(Máx. 16GB de Memoria RAM) 2 Slot,Tarjeta Gráfica: NVIDIA® GeForce® MX130 (GDDR5 de 2 GB dedicada) ,"Pantalla: 15,6"" / HD 1366 x 768/  microbordes, BrightView, 220 nits, 45 % de NTSC",Almacenamiento: Unidad de estado sólido PCIe® NVMe™ M.2 de 256GB,Sistema Operativo: Windows 10 Home (64 bits), $      649.990, $      630.490,https://www.pcfactory.cl//producto/38552-hp-notebook-15-6-hd-intel-i5-10210u-8gb-256gb-ssd-nvidia-geforce-mx130-2gb-windows-10-natural-silver-15-dw1051la
Pc Factory,"Notebook Ideapad 3i 14"" FHD Intel i5-1035G4 8GB 256GB SSD Iris Plus Windows 10 WiFi 6 Abbys Blue",Marca: Lenovo,"Procesador:  Intel® Core™ i5-1035G4, 1,10GHz hasta 3,70GHz (6M Cache)",Memoria RAM: 8GB DDR4 2667Mhz (4GB on board + 4GB en slot)(Máx. 12GB de Memoria RAM),Tarjeta Gráfica: Intel® Iris Plus Graphics,"Pantalla: 14"" FHD TN AG 220N / 1920 x 1080",Almacenamiento: SSD 256GB M.2 2242 NVME TLC,Sistema Operativo: Windows 10 Home, $      649.990, $      630.490,https://www.pcfactory.cl//producto/37222-lenovo-notebook-ideapad-3i-14-fhd-intel-i5-1035g4-8gb-256gb-ssd-iris-plus-windows-10-wifi-6-abbys-blue
