compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook Intel Core i5-1035G1 12GB RAM 512GB SSD 14"" ",Acer,intel core i5,12.0,uhd graphics,14.0,512.0,windows 10,699990.0,629990.0,https://www.falabella.com/falabella-cl/product/14652838/Notebook-Intel-Core-i5-1035G1-12GB-RAM-512GB-SSD-14-/14652838
Falabella,"Notebook Ideapad Gaming 3i Intel Core i5-10300H 8GB RAM 1TB HDD + 128GB SSD NVIDIA Geforce GTX1650 15"" 120HZ WiFi6 ",Lenovo,intel core i5,8.0,nvidia geforce gtx 1650,15.6,128.0,windows 10,939990.0,889990.0,https://www.falabella.com/falabella-cl/product/11235213/Notebook-Ideapad-Gaming-3i-Intel-Core-i5-10300H-8GB-RAM-1TB-HDD-+-128GB-SSD-NVIDIA-Geforce-GTX1650-15-120HZ-WiFi6/11235213
Falabella,"MacBook Pro 16"" Intel Core i9 16 GB RAM-1TB SSD Space Gray ",Apple,intel core i9,16.0,amd radeon pro 5500m,16.0,1000.0,macos,2699990.0,2649990.0,https://www.falabella.com/falabella-cl/product/8300290/MacBook-Pro-16-Intel-Core-i9-16-GB-RAM-1TB-SSD-Space-Gray/8300290
Falabella,"Notebook Intel Core i7-8550U 16GB RAM 512GB SSD 14"" Windows 10 Pro ",Lenovo,intel core i7,16.0,intel uhd graphics 620 integrada,14.0,512.0,windows 10,899990.0,749990.0,https://www.falabella.com/falabella-cl/product/14522595/Notebook-Intel-Core-i7-8550U-16GB-RAM-512GB-SSD-14-Windows-10-Pro/14522595
Falabella,"Notebooks Ideapad S145 Intel Core i3-1005G1 4GB RAM 128Gb SSD  14"" ",Lenovo,intel core i3,4.0,uhd graphics,14.0,128.0,windows 10,409990.0,369990.0,https://www.falabella.com/falabella-cl/product/9173618/Notebooks-Ideapad-S145-Intel-Core-i3-1005G1-4GB-RAM-128Gb-SSD-14-/9173618
Falabella,"Notebook TUF Gaming FX505 Intel Core i5-9300H 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15.6"" 144Hz ",Asus,intel core i5,8.0,nvidia geforce gtx 1650,15.6,512.0,windows 10,949990.0,849990.0,https://www.falabella.com/falabella-cl/product/14490592/Notebook-TUF-Gaming-FX505-Intel-Core-i5-9300H-8GB-RAM-512GB-SSD-NVIDIA-GeForce-GTX-1650-15.6-144Hz/14490592
Falabella,"Notebook Gamer RAZER RZ09-03009 Intel Core i7-9750H 16GB RAM 256GB SSD NVIDIA GeForce GTX 1660 Ti 15.6"" ",Razer,intel core i7,16.0,nvidia geforce gtx 1660 ti,15.6,256.0,windows 10,1999990.0,1399990.0,https://www.falabella.com/falabella-cl/product/12720346/Notebook-Gamer-RAZER-RZ09-03009-Intel-Core-i7-9750H-16GB-RAM-256GB-SSD-NVIDIA-GeForce-GTX-1660-Ti-15.6-/12720346
Falabella,Dell Inspiron 3493 14 I3-1005G1 1Tb 4Gb Freedos ,Dell,intel core i3,4.0,integrated graphics,14.0,512.0,windows 10 home,599990.0,429990.0,https://www.falabella.com/falabella-cl/product/10661155/Dell-Inspiron-3493-14-I3-1005G1-1Tb-4Gb-Freedos/10661155
Falabella,"Notebook Ideapad S540 Intel Core i5 16GB RAM 512GB SSD WiFi 6 13,3"" QHD ",Lenovo,intel core i5,16.0,uhd graphics,13.3,512.0,windows 10 home,899990.0,779990.0,"https://www.falabella.com/falabella-cl/product/14442836/Notebook-Ideapad-S540-Intel-Core-i5-16GB-RAM-512GB-SSD-WiFi-6-13,3-QHD/14442836"
Falabella,"Notebook Aspire 3 AMD Ryzen 5 8GB RAM 512GB SSD 14"" ",Acer,amd ryzen r5,8.0,radeon vega 8,14.0,512.0,windows 10 home,569990.0,529990.0,https://www.falabella.com/falabella-cl/product/13766405/Notebook-Aspire-3-AMD-Ryzen-5-8GB-RAM-512GB-SSD-14-/13766405
