compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook Aspire 3 AMD Ryzen 5 8GB RAM 512GB SSD 14"" ",Acer,AMD Ryzen R5,8GB,Radeon Vega 8,14 pulgadas,512Gb,Windows 10 Home,$  569.990 ,$  529.990 (Oferta),https://www.falabella.com/falabella-cl/product/13766405/Notebook-Aspire-3-AMD-Ryzen-5-8GB-RAM-512GB-SSD-14-/13766405
Falabella,"Notebooks Aspire 3 Intel Core i3 12GB RAM 512GB SSD 15.6"" ",Acer,Intel Core i3,12GB,UHD Graphics,15.6 pulgadas,512Gb,Windows 10 Home,$  539.990 ,$  499.990 (Oferta),https://www.falabella.com/falabella-cl/product/13766424/Notebooks-Aspire-3-Intel-Core-i3-12GB-RAM-512GB-SSD-15.6-/13766424
Falabella,Notebook Portage  I5 8Gb Ram Reacondicionado 133 ,Toshiba,Intel Core i5,8GB,Intel HD Graphics 520,13.3 pulgadas,128Gb,,,$  429.990 ,https://www.falabella.com/falabella-cl/product/14683552/Notebook-Portage-I5-8Gb-Ram-Reacondicionado-133/14683552
Falabella,"Notebook Pavilion Gaming 15-dk0007la Intel Core i7 16GB RAM 1TB+128GB SSD NVIDIA GeForce GTX 1660 Ti  15.6"" ",Hp,Intel Core i7,16GB,NVIDIA GeForce GTX 1660 Ti,15.6 pulgadas,128Gb,Windows 10 Home,,$  1.399.990 ,https://www.falabella.com/falabella-cl/product/8618720/Notebook-Pavilion-Gaming-15-dk0007la-Intel-Core-i7-16GB-RAM-1TB+128GB-SSD-NVIDIA-GeForce-GTX-1660-Ti-15.6-/8618720
Falabella,Ntbk Lenovo V14  I5-1035G1/4Gb/256Gb/14/Freedos ,Lenovo,Intel Core i5,4GB,N/A,14 pulgadas,256Gb,,$  699.990 ,$  499.990 (Oferta),https://www.falabella.com/falabella-cl/product/14687927/Ntbk-Lenovo-V14-I5-1035G1-4Gb-256Gb-14-Freedos/14687927
Falabella,"Notebook 240 G7 Intel Celeron N4020 RAM 4GB HDD 500GB 14""  W10H ",Hp,Intel Celeron,4GB,Intel Iris Plus Graphics&nbsp;645,14 pulgadas,No Aplica,Windows 10 Home,$  499.990 ,$  369.990 (Oferta),https://www.falabella.com/falabella-cl/product/13209082/Notebook-240-G7-Intel-Celeron-N4020-RAM-4GB-HDD-500GB-14-W10H/13209082
Falabella,"MacBook Pro de 13 pulgadas con Touch Bar: Intel Core i5 de cuatro núcleos a 1,4 GHz de octava generación, 512 GB - Silver ",Apple,Intel Core i5,8GB,,13.3 pulgadas,512Gb,macOS,,$  1.699.990 ,"https://www.falabella.com/falabella-cl/product/11062847/MacBook-Pro-de-13-pulgadas-con-Touch-Bar:-Intel-Core-i5-de-cuatro-nucleos-a-1,4-GHz-de-octava-generacion,-512-GB-Silver/11062847"
Falabella,"Notebook Ideapad S340 Intel Core i5 8GB RAM, 512GB SSD 14"" ",Lenovo,Intel Core i5,8GB,Iris Plus Graphics,14 pulgadas,512Gb,Windows 10,$  639.990 ,$  599.990 (Oferta),"https://www.falabella.com/falabella-cl/product/9173619/Notebook-Ideapad-S340-Intel-Core-i5-8GB-RAM,-512GB-SSD-14-/9173619"
Falabella,Ntbk Lenovo V330 I7-8550U/4Gb/1Tb/14/Freedos ,Lenovo,Intel Core i7,4GB,N/A,14 pulgadas,No Aplica,Linux,$  899.990 ,$  629.990 (Oferta),https://www.falabella.com/falabella-cl/product/14524444/Ntbk-Lenovo-V330-I7-8550U-4Gb-1Tb-14-Freedos/14524444
Falabella,"Notebook Intel Core i7-10510U 8GB RAM + 32GB Intel Optane 512GB SSD 13,3"" ",Hp,Intel Core i7,8GB,Intel® UHD,13.3 pulgadas,256Gb,Windows 10 Home,,$  1.019.990 ,"https://www.falabella.com/falabella-cl/product/8116883/Notebook-Intel-Core-i7-10510U-8GB-RAM-+-32GB-Intel-Optane-512GB-SSD-13,3-/8116883"
